koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_srad,koi_kepmag
CONFIRMED,17.85522168,146.596466,7.41287,9.07E+03,13.16,915.7,6823,1.367,11.353
CANDIDATE,12.73262407,176.939054,2.2083,6.47E+03,4.87,210.5,3950,0.541,15.75
CANDIDATE,83.92494032,236.76334,6.7904,7.96E+03,4.78,182.1,3960,0.509,15.754
CONFIRMED,5.007316661,173.433997,4.2362,6.93E+03,6.96,431.4,5865,0.827,15.813
CONFIRMED,2.211116989,170.150139,1.6485,7.24E+02,1.85,42.6,4500,0.646,15.791
CONFIRMED,27.9541337,178.73791,3.95,9.43E+02,1.9,25.4,4500,0.646,15.791
CONFIRMED,12.69104387,137.12594,3.7727,2.52E+02,2.57,60.2,5869,1.626,12.935
FALSE POSITIVE,4.409409243,171.89433,3.8636,1.29E+04,10.95,85.8,5600,0.975,15.403
CONFIRMED,16.23947096,175.569907,4.0374,2.59E+03,4.14,123.8,5191,0.837,15.258
CONFIRMED,6.308201629,174.047661,2.9785,1.33E+03,2.96,86.2,5191,0.837,15.258
CONFIRMED,2.052349884,169.890622,2.0778,1.43E+04,13.12,1072.1,5855,1.08,15.257
CONFIRMED,9.7704486,175.71372,2.4517,1.90E+03,2.23,58,3906,0.509,15.777
CONFIRMED,5.169804269,172.63153,2.153,1.04E+03,1.66,41.4,3906,0.509,15.777
CONFIRMED,21.22261195,137.57403,6.5093,3.66E+02,2.48,114.9,5945,1.302,12.365
CONFIRMED,20.09017037,147.97788,4.154,1.43E+03,2.25,36.9,3906,0.509,15.777
CONFIRMED,7.11373257,174.32351,2.1764,8.08E+02,1.16,44.4,3561,0.411,15.234
CONFIRMED,3.306551643,134.37211,1.8177,5.09E+02,0.91,37.8,3561,0.411,15.234
CONFIRMED,15.36845737,147.38965,2.4714,7.56E+02,1.11,30.9,3561,0.411,15.234
CONFIRMED,13.81020318,172.33533,3.048,1.31E+03,4.56,46.2,5942,1.142,15.425
CONFIRMED,4.093578461,171.00954,2.5833,5.39E+02,2.85,36.4,6077,0.999,15.399
CONFIRMED,105.145959,178.367,8.593,6.85E+02,3.43,15.4,6077,0.999,15.399
CONFIRMED,10.8484518,171.80584,2.9993,1.68E+03,2.34,64.5,4201,0.591,15.058
CONFIRMED,6.66833241,137.43988,1.915,3.62E+02,1.18,14.2,4201,0.591,15.058
CONFIRMED,4.082274889,169.6375652,3.23015,1.79E+04,10.55,1669.1,5655,0.794,15.198
CANDIDATE,3.886655224,169.73814,3.1646,5.82E+02,1.87,48.1,5662,0.738,15.371
CONFIRMED,42.1406089,139.0604,5.083,8.96E+02,1.85,21.6,4500,0.646,15.791
CONFIRMED,4.617490562,135.04909,2.2618,5.76E+02,1.62,28.1,4500,0.646,15.791
CONFIRMED,10.19849255,137.92067,2.4283,6.34E+02,1.75,21.4,4500,0.646,15.791
FALSE POSITIVE,5.795063956,172.697467,3.2496,1.69E+03,4.33,119.4,5865,0.827,15.289
CONFIRMED,7.15681552,174.13511,2.5882,8.67E+02,2.47,47.7,5029,0.838,15.46
CONFIRMED,17.64830851,133.54533,2.0873,7.63E+02,2.43,23.8,5029,0.838,15.46
CONFIRMED,4.14810719,133.3881,2.535,1.75E+02,1.08,12.9,5029,0.838,15.46
CONFIRMED,16.51410989,176.11686,4.1575,9.74E+02,2.72,55.9,5527,0.866,15.223
CONFIRMED,30.1329298,190.38336,5.172,1.02E+03,3.14,44.8,5527,0.866,15.223
CONFIRMED,4.79090809,136.31106,2.603,2.51E+02,1.36,21.2,5527,0.866,15.223
CONFIRMED,31.71981013,142.82083,4.819,3.63E+02,3.09,63.1,5869,1.626,12.935
CONFIRMED,99.6415962,198.68664,4.448,9.53E+02,2.64,22.7,5527,0.866,15.223
CONFIRMED,4.708326451,171.446507,3.16114,7.91E+03,10.6,633.4,5560,1.21,15.113
FALSE POSITIVE,16.37198661,172.75926,3.8449,4.15E+03,540.37,54.5,4187,0.592,15.654
CONFIRMED,5.392026903,171.72707,2.9804,1.15E+03,2.68,77.4,5198,0.801,15.651
CANDIDATE,2.494170338,170.852848,1.1221,8.64E+02,2.42,69.2,5569,0.829,15.251
CONFIRMED,6.491682808,174.633553,4.301,7.16E+03,9.66,502.3,6123,1.107,15.649
FALSE POSITIVE,3.044770796,172.01916,10.0134,1.70E+03,24.54,203.5,5525,0.753,15.621
